id,name
24,"Animal Science"
1,"Art and Design"
2,Business
18,"Communications and Media"
21,Cosmetology
3,"Criminal Justice"
4,"Culinary Arts"
5,"Education and Teaching"
6,Engineering
7,Healthcare
22,"High School"
8,"Human Services"
9,"Legal and Paralegal"
10,"Liberal Arts"
11,Nursing
12,"Political Science"
13,Psychology
14,"Religious Studies"
15,"Science and Math"
16,"Social Services"
17,Technology
23,Testing
20,"Vocational and Trade"
